[ 51] 濁酒                　喜爱程度: 7　未经过濾的濁酒　带着些许的甘甜、但是对酒量好的人来说可能不够劲
[ 52] 清酒                　喜爱程度:15　清澈的醸造酒　甜味和辣味的平衡、清爽芳醇的香味让人享受、是广受欢迎的绝品
[ 53] 鬼殺酒              　喜爱程度:30　使用了特殊的水制成的辛辣的醸造酒　传说连酒量很好的鬼都喝得酩酊大醉
[ 54] 紅酒                　喜爱程度:10　這是紅酒　青澀又清香
[ 55] 神酒                　喜爱程度: 7　使用了清浄的水制成的风味独特的、供奉给神明的醸造酒
[ 56] 甜酒                　喜爱程度:15　用酒曲或酒糟做成的含有极少量酒精的酒　稍微回復体力与気力
[ 58] 蒸留酒              　喜爱程度:20　通过蒸馏提高了度数的酒　嗜酒之人爱不释口
[ 59] 薬酒                　喜爱程度: 9　将薬草浸泡在蒸馏酒中制成的酒　独特的苦味是其特徴　可以回復一些体力与気力
[513] 一夜奇稻田           　喜爱程度:25　从阿求那学会的、一撃必睡的鸡尾酒　让那条八岐大蛇沉睡的历史悠久的配方
[560] 烧酒                　喜爱程度:22　芋回帰線　作为南九州特产“山珍海味”的正宗烧酒 薯类的甜香淡淡地扩散开来
[561] 蜂蜜酒              　喜爱程度: 7　虽然是由蜂蜜制成的最古老的酿造酒　但口感香甜还意外地清爽
[562] 果酒                　喜爱程度: 8　木莓酿的果酒　度数不高，清甜爽口
[563] 莓子酒              　喜爱程度:20　用木莓酿的白兰地　酒精度很高，香气浓郁，口感圆润。
[564] 白朗姆酒            　喜爱程度:20　无色透明的海盗饮料　度数虽高，但香甜爽口
[565] 金朗姆酒            　喜爱程度:22　金色的海盗饮品，酒精度很高，但有甜香味和轻微的香脆感。
[566] 黑朗姆酒            　喜爱程度:25　焦糖色的海盗饮品，酒精度很高，有像焦糖一样的甜香味，味道浓郁。
[567] 强化紅酒            　喜爱程度:20　酿造过程中添加了酒精的红酒 著名的波特红酒 度数很高且来自葡萄的甜味很强。
[568] 貴腐紅酒            　喜爱程度:25　红酒之王，王中王的红酒，极甜的红酒，具有独特的芳香，酒精度也很高。
[569] 陈酿紅酒            　喜爱程度:15　经过陈年，红酒变得圆润，口感充实，带有一抹甜香味。
[570] 優質陈酿紅酒        　喜爱程度:15　长时间陈年的顶级红酒，懂行的人会品出其独特的口味。
[571] 白兰地VS            　喜爱程度:18　以葡萄制成的白兰地，酒精度很高，具有浓郁的香气和圆润的口感。
[572] 白兰地VSOP          　喜爱程度:20　经过陈年，白兰地变得更加丰富香醇，口感圆润，香气更加浓郁。
[573] 白兰地XO            　喜爱程度:20　陈年超过20年的白兰地，口感浓郁，圆润，品质高，适合从初学者到高级酒鬼的人士。
[574] 灰持酒              　喜爱程度: 8　古老的日本酒，旨味和甘甜深厚，地伝酒(島根)赤酒(熊本)地酒(鹿児島)等都属于这类，也用于屠苏酒。
[575] 果渣白兰地          　喜爱程度:18　蒸馏葡萄的榨渣制作出的白兰地 度数很高，有葡萄的香味　著名的格拉帕酒
[577] にごり酒            　喜爱程度:17　它是轻微过滤酒糟的酒，呈现白浊色，可以强烈地感受到来自米的美味
[578] 吟醸酒              　喜爱程度:17　具有水果香气特征的清雅清酒，也推荐给日本酒初学者
[579] 熟成酒              　喜爱程度:20　这是一款存放了吟醸酒并成为金色的日本酒，除了华丽的香气外，还带有焦香味，非常深入人心
[580] 古酒                  喜爱程度:25　通过长时间熟成而呈现焦糖色的日本酒，有着香烤味和绵软口感，是一款浓郁而温柔的佳酿
[581] 粕取り焼酎            喜爱程度:20　这是一款源于吟醸酒且拥有花香气味让人挑逗鼻子、比较容易饮用的米焼酎
[582] 貴醸にごり酒          喜爱程度:25　代替水以酒进行酿造的贵酿酒，这款浊酒，以其浓郁的甜味为傲，推荐给所有人
[583] 貴醸酒                喜爱程度:25　代替水以酒进行酿造的日本酒，它的特点是在华丽香气和清新甜度中的浓厚感，是一种古代的酒
[584] 貴醸熟成酒            喜爱程度:25　成熟的贵酿酒呈现出金色，其特点是有浓郁的甜味和焦糖香味的醇厚酒款
[585] 貴醸古酒              喜爱程度:25　通过长期熟成的贵酿酒成为焦糖色，是一款融合了柔和甜度和深色香气的至福酒品
[586] 三増酒                喜爱程度: 8　在外部世界制造的劣质清酒，由于添加了甜味剂，所以容易喝坏
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
