;------------------------------------------------------------
;	顔絵
;------------------------------------------------------------
;・ファイルネームはキャラIDに合わせる
;・デフォ設定 width180 height180
;サイズ変える場合は全てリサイズしないとズレます
;フォントの10倍以上で揃える
;縮小には耐えられますが拡大はやめたほうがいいかと

;・角色毎に1枚画像ファイルに収める
;服装違いをｙ軸、表情差分をｘ軸に増設
;・リソース定義規則
;顔絵の種類(ファイル名違い)_服装(Yの段落振り)_表情(Xの段落振り)_角色ID_差分
;種類	立絵、顔絵
;服装	体形、服、裸、特殊服装
;表情	通常、笑顔、憤怒、自慰、愛撫、性交
;エフェクト 照れ、吐息、汗
;差分   エフェクトを共有しない画像

;リソース名,元ファイル名,x,y,width,height
;デフォルトネーム
;顔絵_服_通常_17,17_顔.webp,0,0,180,180

;_裸
;ないキャラは服の座標で代用
;既に定義されているので、追加したら座標だけ変える
;顔絵_裸_通常_17,17_顔.webp,0,180,180,180

;表情
;顔絵_服_笑顔_17,17_顔.webp,180,0,180,180
;顔絵_服_憤怒_17,17_顔.webp,360,0,180,180
;顔絵_裸_笑顔_17,17_顔.webp,180,180,180,180
;顔絵_裸_憤怒_17,17_顔.webp,360,180,180,180
;顔絵_裸_自慰_17,17_顔.webp,720,180,180,180
;顔絵_裸_愛撫_17,17_顔.webp,0,360,180,180
;顔絵_裸_性交_17,17_顔.webp,180,360,180,180

;エフェクト 上から重ねて表示されます
;顔絵_照れ_17,17_顔.webp,540,0,180,180
;顔絵_吐息_17,17_顔.webp,360,360,180,180
;顔絵_汗_17,17_顔.webp,540,360,180,180

;差分は裸やエフェクトを共有しない画像に使用
;共有する場合は特殊服装を使用する

;------------------------------------------------------------					
;1_霊夢
;------------------------------------------------------------					
別立ち4_裸_正常_1,1_cg.webp,0,0,720,720
別立ち4_裸_後背_1,1_cg.webp,720,0,720,720
別立ち4_裸_騎乗_1,1_cg.webp,1440,0,720,720
別立ち4_裸_对面座位_1,1_cg.webp,2160,0,720,720
別立ち4_裸_背面座位_1,1_cg.webp,2880,0,720,720

立絵_裸_COM_1_60,1_cg.webp,0,0,720,720
立絵_裸_COM_1_62,1_cg.webp,0,0,720,720
立絵_裸_COM_1_61,1_cg.webp,720,0,720,720
立絵_裸_COM_1_63,1_cg.webp,720,0,720,720
立絵_裸_COM_1_65,1_cg.webp,1440,0,720,720
立絵_裸_COM_1_66,1_cg.webp,1440,0,720,720
立絵_裸_COM_1_67,1_cg.webp,2160,0,720,720
立絵_裸_COM_1_69,1_cg.webp,2160,0,720,720
立絵_裸_COM_1_68,1_cg.webp,2880,0,720,720
立絵_裸_COM_1_70,1_cg.webp,2880,0,720,720

