角色编号,口上编号,角色,口上,有效输出行,创作者,创作者2,创作者3,统计日期,备注
1,0,灵梦,初期,7290,佚名（灵梦初期）,,,2025-9-7,
1,1,灵梦,无个性版,6323,佚名（灵梦初期）,佚名,,2025-9-7,
1,2,灵梦,少女之梦,11882,龙迅,,,2025-9-7,
2,0,留琴,初期,1111,にわか,,,2025-9-7,
4,0,魅魔,初期,2012,1GB正邪の人,,,2025-9-7,
5,0,桑尼,初期,3311,260スレ目722,,,2025-9-7,
6,0,露娜,初期,2906,260スレ目722,,,2025-9-7,
7,0,斯塔,初期,2880,260スレ目722,,,2025-9-7,
9,0,梦美,初期,3616,夢美リソースの人,,,2025-9-7,
10,0,萃香,初期,302,佚名,,,2025-9-7,
10,1,萃香,MOMO自制,8817,MOMO,,,2025-9-7,
11,0,魔理沙,初期,1309,ぶらいと,佚名,,2025-9-7,
11,1,魔理沙,雾雨迷境,6714,Trias笨批,,,2025-9-7,含字符画
11,1,魔理沙,雾雨迷境,6517,Trias笨批,,,2025-9-7,不含字符画
12,0,露米娅,初期,1918,葦,,,2025-9-7,
12,1,露米娅,宵暗之花,18585,Moe茗,,,2025-9-7,含字符画
12,1,露米娅,宵暗之花,18473,Moe茗,,,2025-9-7,不含字符画
13,0,大妖精,初期,5483,黒い人,舩 弦五郎,,2025-9-7,
14,0,琪露诺,初期,1581,260スレ目722,,,2025-9-7,
14,1,琪露诺,AA琪露诺,12437,破空,,,2025-9-7,含字符画
14,1,琪露诺,AA琪露诺,10814,破空,,,2025-9-7,不含字符画
14,2,琪露诺,⑨之先行者,5760,纸蛇冰沙,,,2025-9-7,
15,0,咲夜,初期,1049,Ｎ田Ｔ実,,,2025-9-7,
15,1,咲夜,少女长,290,さもま,,,2025-9-7,
15,2,咲夜,逆输入(汉化英文)版,3237,佚名,,,2025-9-7,
15,3,咲夜,不坠之月,16278,飞刀,,,2025-9-7,
16,0,蕾米莉亚,初期,1075,とぱんず,,,2025-9-7,
16,1,蕾米莉亚,rbk版,3730,rbk,,,2025-9-7,
16,2,蕾米莉亚,无幼稚版,10137,QQ2848915112,,,2025-9-7,
17,0,爱丽丝,初期,3875,妄想エロ乙女愛麗絲を書いた人,,,2025-9-7,无参考性
17,1,爱丽丝,MAS式百合,2949,MAS,,,2025-9-7,
18,0,莉莉白,初期,2000,260スレ目722,,,2025-9-7,
18,1,莉莉白,中文自制,15800,tokikorin,chocoli,,2025-9-7,
19,0,莉莉黑,初期,994,260スレ目722,,,2025-9-7,
22,0,露娜萨,初期,660,人参忍者忍法,,,2025-9-7,
23,0,妖梦,初期,634,eraTW妖夢口上ver0.1プロト作者様,,,2025-9-7,
23,1,妖梦,超保守,1767,佚名,,,2025-9-7,
23,2,妖梦,别人版,6231,eraTW妖夢口上ver0.1プロト作者様,TW妖夢別人改変版作者,,2025-9-7,
24,0,橙,初期,118,佚名,,,2025-9-7,
24,1,橙,别人版,1020,佚名,,,2025-9-7,
25,0,蓝,初期,3156,佚名,佚名,,2025-9-7,
26,0,紫,初期,3863,黒い人,佚名,,2025-9-7,
26,1,紫,夜空的碎片版,13805,夜空的碎片,,,2025-9-7,
27,0,莉格露,初期,4336,すし,,,2025-9-7,
28,0,米斯蒂娅,初期,1224,J莉格露口上主,,,2025-9-7,
29,0,文,初期,6054,佚名（灵梦初期）,,,2025-9-7,
30,0,映姬,初期,13957,TW映姫様口上作った人,乐山大佛22,,2025-9-7,
31,0,早苗,初期,2355,字母表顺序,,,2025-9-7,
31,1,早苗,逆推,1959,ハピネターレ,,,2025-9-7,
32,0,神奈子,初期,1154,288スレ目1000,,,2025-9-7,
33,0,诹访子,初期,3592,採集調合屋,,,2025-9-7,
34,0,天子,初期,3591,佚名,佚名,,2025-9-7,
35,0,衣玖,初期,2339,とぱんず,,,2025-9-7,
36,0,阿燐,初期,111,309スレ目474,,,2025-9-7,
36,1,阿燐,吧友自制,10234,赤蜘蛛,,,2025-9-7,
36,2,阿燐,海外版,2307,佚名,,,2025-9-7,
37,0,阿空,初期,1202,名無し,,,2025-9-7,
38,0,恋,初期,6892,TW恋口上作った人,,,2025-9-7,
38,1,恋,想起之途,7758,木船,九头小蛇,,2025-9-7,
38,2,恋,NK试做,747,name-killed,,,2025-9-7,
39,0,纳兹琳,初期,9908,佚名,,,2025-9-7,
40,0,小伞,初期,11657,J莉格露口上主,,,2025-9-7,
41,0,鵺,初期,1838,佚名,239スレ目573,,2025-9-7,
42,0,极,初期,26803,すし,,,2025-9-7,
42,1,极,狼exb中文自制,2493,狼exb,,,2025-9-7,
43,0,华扇,初期,7153,eU8LN8vSsg,,,2025-9-7,
43,1,华扇,金水科工,6006,金水科工,,,2025-9-7,
44,0,爱莲,初期,2338,艾倫大好きな人,,,2025-9-7,
47,0,里香,初期,2117,佚名,,,2025-9-7,
49,0,觉,天空录,19076,全人類ノ天空録,TW用覚ん＆もこたん＆猯藏さん口上書き,,2025-9-7,含字符画
49,0,觉,天空录,14827,全人類ノ天空録,TW用覚ん＆もこたん＆猯藏さん口上書き,,2025-9-7,不含字符画
49,1,觉,TOKI版,8895,時どき（TOKI）,,,2025-9-7,
49,2,觉,NK试做,795,name-killed,,,2025-9-7,
49,3,觉,日版,7567,TW用覚ん＆もこたん＆猯藏さん口上書き,,,2025-9-7,
50,0,芙兰朵露,初期,557,佚名,,,2025-9-7,
50,1,芙兰朵露,诶嘿嘿,1331,あはるえどじぇ,,,2025-9-7,
50,2,芙兰朵露,白泽球,5173,tokikorin,Markes_D,全人類ノ天空録,2025-9-7,
50,3,芙兰朵露,海外版,1335,佚名,,,2025-9-7,
51,0,河取,初期,1155,WB,,,2025-9-7,
52,0,铃仙,初期,2589,ジンバブエの亡霊,,,2025-9-7,
53,0,帝,初期,285,帝口上の人,,,2025-9-7,
53,1,帝,扶她帝,170,さめさぶろう,,,2025-9-7,
54,0,帕秋莉,初期,1047,佚名,,,2025-9-7,
54,1,帕秋莉,七曜之光,5565,Determination,,,2025-9-7,
54,2,帕秋莉,小图书馆,4739,佚名,,,2025-9-7,含字符画/暂未整合
54,2,帕秋莉,小图书馆,4722,佚名,,,2025-9-7,含字符画/暂未整合
55,0,白莲,初期,3533,239スレ目573,eraTWk3.v6様,TW映姫様口上作った人,2025-9-7,
56,0,神子,初期,301,■■あき,,,2025-9-7,
57,0,秦心,初期,2680,TW恋口上作った人,,,2025-9-7,
58,0,美铃,初期,3989,きんこうせん,,,2025-9-7,
58,1,美铃,新制,34266,老洪,,,2025-9-7,
59,0,小恶魔,初期,347,佚名,,,2025-9-7,
59,1,小恶魔,长短发切替,623,ルアン,,,2025-9-7,
59,2,小恶魔,魅影之花,3908,黑猫,,,2025-9-7,暂未整合
60,1,帕露西,初期,1844,佚名,,,2025-9-7,
61,0,妹红,初期,2019,さもま,TW用覚ん＆もこたん＆猯藏さん口上書き,,2025-9-7,
62,0,辉夜,初期,7975,TW輝夜口上作者,,,2025-9-7,
62,1,辉夜,qqqqq自制,2182,qqqqq,,,2025-9-7,
63,0,影狼,初期,2741,佚名,,,2025-9-7,
64,0,勇仪,初期,3683,268スレ目257,,,2025-9-7,
65,0,椛,初期,3893,239スレ目573,,,2025-9-7,
66,0,幽幽子,初期,2493,ジンバブエの亡霊,,,2025-9-7,
66,1,幽幽子,假酒自制,4847,假酒,,,2025-9-7,
67,0,慧音,初期,7951,みこと,mahou789,,2025-9-7,
68,0,幽香,初期,4080,Crapena,,,2025-9-7,
68,1,幽香,南风天,5410,aw233,,,2025-9-7,含字符画
68,1,幽香,南风天,4667,aw233,,,2025-9-7,不含字符画
69,0,猯藏,初期,1183,さもま,TW用覚ん＆もこたん＆猯藏さん口上書き,,2025-9-7,
69,1,猯藏,变身别人版,2013,311スレ目891,,,2025-9-7,
70,0,小铃,初期,6960,holy,,,2025-9-7,
71,0,针妙丸,初期,336,佚名,,,2025-9-7,
72,0,永琳,初期,13533,TW永琳口上作者,,,2025-9-7,
72,1,永琳,国人自制,2780,佚名,,,2025-9-7,
73,0,蛮奇,初期,125,0326,,,2025-9-7,
73,1,蛮奇,不太孤高,12727,佚名,,,2025-9-7,
74,0,蕾蒂,初期,672,佚名,,,2025-9-7,
74,1,蕾蒂,大炮弹风,346,舩 弦五郎,,,2025-9-7,
75,0,梅蒂欣,初期,3636,すし,,,2025-9-7,
76,0,小町,初期,6940,すし,,,2025-9-7,
77,0,静叶,初期,13975,第И个独立游戏,,,2025-9-7,含字符画
